ìoò^î‘çÜ,ëIéËñº,í¯î‘,èoëñêî,èüóòâÒêî,2íÖâÒêî,3íÖâÒêî,ïΩãœST,ì¶Ç∞,ç∑Çµ,Ç‹Ç≠ÇË,Ç‹Ç≠ÇËç∑Çµ,î≤Ç´,åbÇ‹ÇÍ,ç∑Ç≥ÇÍ,Ç‹Ç≠ÇÁÇÍ,Ç‹Ç≠ÇËç∑Ç≥ÇÍ,ì¶Çµ,ëSëÃïΩãœST
2014,çÇíÀê¥àÍ,1,37,7,7,7,0.1502702702702703,7,0,0,0,0,0,12,12,5,0,0.17946859903381643
2014,çÇíÀê¥àÍ,2,34,3,3,8,0.1735294117647059,0,2,1,0,0,0,0,0,0,20,0.17946859903381643
2014,çÇíÀê¥àÍ,3,37,3,4,4,0.17702702702702702,0,1,1,0,1,0,0,0,0,0,0.17946859903381643
2014,çÇíÀê¥àÍ,4,35,1,3,6,0.182,0,0,0,1,0,0,0,0,0,0,0.17946859903381643
2014,çÇíÀê¥àÍ,5,33,2,0,7,0.20242424242424242,0,0,0,2,0,0,0,0,0,0,0.17946859903381643
2014,çÇíÀê¥àÍ,6,31,0,2,6,0.1964516129032258,0,0,0,0,0,0,0,0,0,0,0.17946859903381643
2538,çÇã¥ìÒòN,1,28,2,6,6,0.20500000000000002,2,0,0,0,0,0,7,12,6,0,0.19945652173913045
2538,çÇã¥ìÒòN,2,33,4,5,3,0.18393939393939396,0,2,0,0,1,1,0,0,0,18,0.19945652173913045
2538,çÇã¥ìÒòN,3,37,0,1,8,0.19891891891891894,0,0,0,0,0,0,0,0,0,0,0.19945652173913045
2538,çÇã¥ìÒòN,4,33,0,2,7,0.20151515151515154,0,0,0,0,0,0,0,0,0,0,0.19945652173913045
2538,çÇã¥ìÒòN,5,31,0,1,6,0.18935483870967743,0,0,0,0,0,0,0,0,0,0,0.19945652173913045
2538,çÇã¥ìÒòN,6,22,0,0,1,0.22772727272727272,0,0,0,0,0,0,0,0,0,0,0.19945652173913045
2878,ïxéRçOçK,1,51,23,15,8,0.16176470588235295,18,0,0,0,5,0,7,11,8,0,0.18264227642276423
2878,ïxéRçOçK,2,46,1,14,15,0.19521739130434784,0,1,0,0,0,0,0,0,0,23,0.18264227642276423
2878,ïxéRçOçK,3,38,3,6,9,0.19736842105263158,0,1,1,1,0,0,0,0,0,0,0.18264227642276423
2878,ïxéRçOçK,4,37,4,6,13,0.18027027027027026,0,0,3,1,0,0,0,0,0,0,0.18264227642276423
2878,ïxéRçOçK,5,35,4,9,8,0.1685714285714286,0,0,1,3,0,0,0,0,0,0,0.18264227642276423
2878,ïxéRçOçK,6,39,0,3,5,0.19564102564102565,0,0,0,0,0,0,0,0,0,0,0.18264227642276423
2903,éRçËãB,1,14,3,3,2,0.17500000000000002,3,0,0,0,0,0,1,6,3,0,0.18053435114503819
2903,éRçËãB,2,27,2,8,6,0.15,0,1,1,0,0,0,0,0,0,19,0.18053435114503819
2903,éRçËãB,3,26,2,6,8,0.15076923076923077,0,2,0,0,0,0,0,0,0,0,0.18053435114503819
2903,éRçËãB,4,24,0,2,3,0.20625000000000002,0,0,0,0,0,0,0,0,0,0,0.18053435114503819
2903,éRçËãB,5,26,0,4,6,0.19,0,0,0,0,0,0,0,0,0,0,0.18053435114503819
2903,éRçËãB,6,14,0,3,2,0.23857142857142857,0,0,0,0,0,0,0,0,0,0,0.18053435114503819
2930,êVó«àÍãK,1,23,10,5,4,0.2039130434782609,10,0,0,0,0,0,4,4,4,0,0.19859259259259257
2930,êVó«àÍãK,2,26,2,5,6,0.20346153846153847,0,2,0,0,0,0,0,0,0,16,0.19859259259259257
2930,êVó«àÍãK,3,28,1,5,7,0.1667857142857143,0,0,0,1,0,0,0,0,0,0,0.19859259259259257
2930,êVó«àÍãK,4,21,2,3,5,0.20238095238095238,0,1,0,1,0,0,0,0,0,0,0.19859259259259257
2930,êVó«àÍãK,5,18,0,3,0,0.20722222222222222,0,0,0,0,0,0,0,0,0,0,0.19859259259259257
2930,êVó«àÍãK,6,19,0,0,3,0.21999999999999997,0,0,0,0,0,0,0,0,0,0,0.19859259259259257
3022,êºéRè∏àÍ,1,21,11,4,4,0.13904761904761903,11,0,0,0,0,0,2,4,3,0,0.15031999999999998
3022,êºéRè∏àÍ,2,22,3,9,1,0.16090909090909092,0,3,0,0,0,0,0,0,0,10,0.15031999999999998
