ìoò^î‘çÜ,ëIéËñº,í¯î‘,èoëñêî,èüóòâÒêî,2íÖâÒêî,3íÖâÒêî,ïΩãœST,ì¶Ç∞,ç∑Çµ,Ç‹Ç≠ÇË,Ç‹Ç≠ÇËç∑Çµ,î≤Ç´,åbÇ‹ÇÍ,ç∑Ç≥ÇÍ,Ç‹Ç≠ÇÁÇÍ,Ç‹Ç≠ÇËç∑Ç≥ÇÍ,ì¶Çµ,ëSëÃïΩãœST
2014,çÇíÀê¥àÍ,1,37,7,11,7,0.15702702702702703,6,1,0,0,0,0,14,9,6,0,0.17876237623762375
2014,çÇíÀê¥àÍ,2,32,3,2,8,0.1684375,0,1,1,0,0,1,0,0,0,17,0.17876237623762375
2014,çÇíÀê¥àÍ,3,35,3,4,5,0.1662857142857143,0,1,1,0,1,0,0,0,0,0,0.17876237623762375
2014,çÇíÀê¥àÍ,4,33,0,2,7,0.1906060606060606,0,0,0,0,0,0,0,0,0,0,0.17876237623762375
2014,çÇíÀê¥àÍ,5,34,2,0,7,0.1935294117647059,0,0,0,2,0,0,0,0,0,0,0.17876237623762375
2014,çÇíÀê¥àÍ,6,31,0,3,5,0.20064516129032256,0,0,0,0,0,0,0,0,0,0,0.17876237623762375
2538,çÇã¥ìÒòN,1,23,1,5,5,0.20652173913043478,1,0,0,0,0,0,6,11,4,0,0.19939597315436242
2538,çÇã¥ìÒòN,2,26,3,3,2,0.19,0,1,0,0,1,1,0,0,0,15,0.19939597315436242
2538,çÇã¥ìÒòN,3,30,0,1,4,0.20566666666666666,0,0,0,0,0,0,0,0,0,0,0.19939597315436242
2538,çÇã¥ìÒòN,4,26,0,2,6,0.19307692307692306,0,0,0,0,0,0,0,0,0,0,0.19939597315436242
2538,çÇã¥ìÒòN,5,25,0,1,5,0.1864,0,0,0,0,0,0,0,0,0,0,0.19939597315436242
2538,çÇã¥ìÒòN,6,19,0,0,0,0.21947368421052632,0,0,0,0,0,0,0,0,0,0,0.19939597315436242
2876,óÈñÿçKïv,1,2,0,0,1,0.13,0,0,0,0,0,0,0,0,1,0,0.20111111111111113
2876,óÈñÿçKïv,2,2,0,0,1,0.15,0,0,0,0,0,0,0,0,0,0,0.20111111111111113
2876,óÈñÿçKïv,3,1,0,0,0,0.27,0,0,0,0,0,0,0,0,0,0,0.20111111111111113
2876,óÈñÿçKïv,4,1,0,0,1,0.25,0,0,0,0,0,0,0,0,0,0,0.20111111111111113
2876,óÈñÿçKïv,5,1,0,0,0,0.23,0,0,0,0,0,0,0,0,0,0,0.20111111111111113
2876,óÈñÿçKïv,6,2,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0.20111111111111113
2878,ïxéRçOçK,1,50,23,15,7,0.1642,18,0,0,0,5,0,6,10,9,0,0.18491525423728813
2878,ïxéRçOçK,2,45,1,14,15,0.19622222222222221,0,1,0,0,0,0,0,0,0,22,0.18491525423728813
2878,ïxéRçOçK,3,36,3,5,7,0.2038888888888889,0,2,1,0,0,0,0,0,0,0,0.18491525423728813
2878,ïxéRçOçK,4,35,2,7,13,0.18400000000000002,0,0,2,0,0,0,0,0,0,0,0.18491525423728813
2878,ïxéRçOçK,5,34,4,8,9,0.16323529411764706,0,0,1,3,0,0,0,0,0,0,0.18491525423728813
2878,ïxéRçOçK,6,36,0,3,4,0.20194444444444445,0,0,0,0,0,0,0,0,0,0,0.18491525423728813
2903,éRçËãB,1,16,3,3,2,0.166875,3,0,0,0,0,0,1,7,4,0,0.17756944444444445
2903,éRçËãB,2,30,2,9,7,0.15033333333333332,0,1,1,0,0,0,0,0,0,20,0.17756944444444445
2903,éRçËãB,3,27,2,7,8,0.14925925925925926,0,2,0,0,0,0,0,0,0,0,0.17756944444444445
2903,éRçËãB,4,27,0,2,3,0.2037037037037037,0,0,0,0,0,0,0,0,0,0,0.17756944444444445
2903,éRçËãB,5,28,0,5,6,0.18821428571428572,0,0,0,0,0,0,0,0,0,0,0.17756944444444445
2903,éRçËãB,6,16,0,3,2,0.224375,0,0,0,0,0,0,0,0,0,0,0.17756944444444445
2930,êVó«àÍãK,1,23,10,5,4,0.20478260869565218,10,0,0,0,0,0,4,4,4,0,0.1971631205673759
2930,êVó«àÍãK,2,28,2,5,7,0.20392857142857143,0,2,0,0,0,0,0,0,0,18,0.1971631205673759
2930,êVó«àÍãK,3,30,2,5,7,0.16633333333333333,0,0,0,2,0,0,0,0,0,0,0.1971631205673759
2930,êVó«àÍãK,4,21,2,4,5,0.1980952380952381,0,1,0,1,0,0,0,0,0,0,0.1971631205673759
2930,êVó«àÍãK,5,19,0,3,0,0.20105263157894737,0,0,0,0,0,0,0,0,0,0,0.1971631205673759
2930,êVó«àÍãK,6,20,0,0,3,0.2205,0,0,0,0,0,0,0,0,0,0,0.1971631205673759
3022,êºéRè∏àÍ,1,28,14,4,6,0.14035714285714287,14,0,0,0,0,0,3,5,4,0,0.15190184049079755
3022,êºéRè∏àÍ,2,28,3,12,1,0.15785714285714286,0,3,0,0,0,0,0,0,0,12,0.15190184049079755
3022,êºéRè∏àÍ,3,29,3,6,4,0.13482758620689655,0,1,1,0,1,0,0,0,0,0,0.15190184049079755
3022,êºéRè∏àÍ,4,31,2,7,7,0.15129032258064518,0,0,1,0,1,0,0,0,0,0,0.15190184049079755
3022,êºéRè∏àÍ,5,26,2,2,1,0.1726923076923077,0,1,0,0,1,0,0,0,0,0,0.15190184049079755
3022,êºéRè∏àÍ,6,21,0,2,4,0.1580952380952381,0,0,0,0,0,0,0,0,0,0,0.15190184049079755
3024,êºìáã`ë•,1,60,25,14,8,0.16733333333333336,23,0,0,0,2,0,10,11,10,0,0.16073943661971832
3024,êºìáã`ë•,2,46,8,16,9,0.16,4,2,1,0,1,0,0,0,0,23,0.16073943661971832
3024,êºìáã`ë•,3,47,10,14,7,0.15063829787234043,3,4,3,0,0,0,0,0,0,0,0.16073943661971832
3024,êºìáã`ë•,4,38,9,10,7,0.14368421052631578,0,3,5,0,1,0,0,0,0,0,0.16073943661971832
3024,êºìáã`ë•,5,47,8,11,7,0.17170212765957446,0,2,4,0,2,0,0,0,0,0,0.16073943661971832
3024,êºìáã`ë•,6,46,10,7,11,0.16608695652173913,1,3,4,0,2,0,0,0,0,0,0.16073943661971832
3044,éOëÓé¢ém,1,28,7,4,8,0.2060714285714286,5,0,0,0,2,0,7,10,2,0,0.17901554404145076
3044,éOëÓé¢ém,2,37,3,12,3,0.1672972972972973,0,3,0,0,0,0,0,0,0,21,0.17901554404145076
