レース場,レース番号,レース種別,艇番,登録番号,選手名,年齢,支部,体重,級別,全国勝率,全国2連対率,当地勝率,当地2連対率,モーター番号,モーター2連対率,ボート番号,ボート2連対率
大村,1,予選,1,4299,中島浩哉,38,長崎,56,B1,5.03,25.68,4.70,28.00,71,0.00,66,0.00
大村,1,予選,2,4731,間野兼礼,32,愛知,52,B1,4.80,21.62,6.00,30.00,31,0.00,69,0.00
大村,1,予選,3,4783,木村詳子,33,山口,51,B2,2.22,0.00,0.00,0.00,13,33.33,32,12.50
大村,1,予選,4,3212,亀本勇樹,59,広島,58,B1,4.93,31.58,3.00,12.50,26,80.00,67,0.00
大村,1,予選,5,4746,大豆生蒼,26,埼玉,48,B1,5.10,34.83,0.00,0.00,16,0.00,37,33.33
大村,1,予選,6,3730,塩崎優司,49,愛知,52,B1,5.18,30.77,4.86,14.29,66,0.00,68,0.00
大村,2,予選,1,4738,清埜翔子,29,埼玉,48,B1,5.13,31.48,4.38,23.81,30,45.45,31,25.00
大村,2,予選,2,3722,西村秀樹,50,福岡,52,B1,4.08,18.46,4.46,19.23,75,0.00,60,22.22
大村,2,予選,3,4034,西原明生,42,香川,55,B1,4.54,24.69,3.72,20.93,33,55.56,62,0.00
大村,2,予選,4,5180,藤本紗弥,23,山口,47,B2,1.39,0.00,0.00,0.00,36,40.00,73,0.00
大村,2,予選,5,3070,山室展弘,60,岡山,50,A2,6.03,45.59,5.21,37.50,37,25.00,47,0.00
大村,2,予選,6,3783,瓜生正義,45,福岡,51,A1,7.15,44.72,7.51,57.35,11,33.33,55,40.00
大村,3,予選,1,3411,池上隆行,51,広島,54,B1,4.23,18.57,3.47,8.82,63,0.00,44,0.00
大村,3,予選,2,4290,稲田浩二,36,兵庫,51,A1,7.68,59.69,6.67,33.33,70,0.00,50,12.50
大村,3,予選,3,4084,杉山正樹,41,愛知,54,A1,7.01,56.88,6.70,51.52,15,54.55,75,0.00
大村,3,予選,4,4971,秦　直也,29,岡山,54,B1,3.54,18.00,2.22,0.00,73,0.00,40,25.00
大村,3,予選,5,4938,小芦るり,23,佐賀,49,A2,5.64,37.93,4.89,31.58,27,12.50,46,22.22
大村,3,予選,6,4695,尾崎雄二,35,長崎,53,B1,4.75,29.69,4.91,30.00,74,0.00,41,12.50
大村,4,予選,1,3523,寳田亮治,52,福岡,53,B1,4.96,34.12,5.02,41.46,23,22.22,56,12.50
大村,4,予選,2,3748,小黒竜吾,46,埼玉,57,B1,3.79,14.71,4.22,22.22,76,0.00,36,50.00
大村,4,予選,3,4302,西野翔太,38,広島,52,A1,6.12,44.36,5.88,39.53,67,0.00,34,33.33
大村,4,予選,4,5146,野田彩加,18,山口,50,B2,1.78,0.00,0.00,0.00,24,40.00,57,40.00
大村,4,予選,5,3996,秋山直之,42,群馬,52,A1,6.98,50.00,6.25,25.00,28,40.00,72,0.00
大村,4,予選,6,3509,道上千夏,49,香川,50,B1,3.77,9.88,0.00,0.00,20,12.50,39,25.00
大村,5,予選,1,3874,山本寛久,45,岡山,52,A1,6.50,46.73,6.67,45.83,21,40.00,61,0.00
大村,5,予選,2,4233,亀山雅幸,37,群馬,51,A2,6.00,43.59,3.63,25.00,56,0.00,63,0.00
大村,5,予選,3,3075,中村裕将,58,埼玉,53,A2,5.33,35.00,5.85,45.00,25,60.00,65,0.00
大村,5,予選,4,3787,天野　誠,49,岡山,54,B1,4.62,23.16,5.00,36.67,29,30.00,70,0.00
大村,5,予選,5,3212,亀本勇樹,59,広島,58,B1,4.93,31.58,3.00,12.50,26,80.00,67,0.00
大村,5,予選,6,3473,石川真二,51,福岡,51,A1,7.07,60.49,7.14,55.17,64,0.00,51,12.50
大村,6,予選,1,3462,竹上真司,54,岡山,52,A2,5.34,38.76,5.13,32.50,17,12.50,35,63.64
大村,6,予選,2,4783,木村詳子,33,山口,51,B2,2.22,0.00,0.00,0.00,13,33.33,32,12.50
大村,6,予選,3,3722,西村秀樹,50,福岡,52,B1,4.08,18.46,4.46,19.23,75,0.00,60,22.22
大村,6,予選,4,3946,赤岩善生,45,愛知,55,A1,7.19,54.39,6.71,46.67,35,40.00,53,12.50
大村,6,予選,5,4594,谷川祐一,39,滋賀,53,A1,6.04,45.33,4.66,34.48,18,70.00,59,80.00
大村,6,予選,6,3752,宇土泰就,50,福岡,51,B1,4.68,16.04,4.84,29.69,22,63.64,48,14.29
大村,7,予選,1,3327,野長瀬正,53,静岡,54,A2,6.10,42.00,7.30,50.00,65,0.00,74,0.00
大村,7,予選,2,3411,池上隆行,51,広島,54,B1,4.23,18.57,3.47,8.82,63,0.00,44,0.00
大村,7,予選,3,4731,間野兼礼,32,愛知,52,B1,4.80,21.62,6.00,30.00,31,0.00,69,0.00
大村,7,予選,4,3783,瓜生正義,45,福岡,51,A1,7.15,44.72,7.51,57.35,11,33.33,55,40.00
大村,7,予選,5,3746,岡瀬正人,46,岡山,52,A2,5.87,38.81,5.64,35.94,19,50.00,71,0.00
大村,7,予選,6,5146,野田彩加,18,山口,50,B2,1.78,0.00,0.00,0.00,24,40.00,57,40.00
大村,8,予選,1,4743,木村仁紀,28,滋賀,53,A2,6.50,48.65,6.47,47.37,60,0.00,64,0.00
大村,8,予選,2,4084,杉山正樹,41,愛知,54,A1,7.01,56.88,6.70,51.52,15,54.55,75,0.00
大村,8,予選,3,4299,中島浩哉,38,長崎,56,B1,5.03,25.68,4.70,28.00,71,0.00,66,0.00
大村,8,予選,4,3414,加瀬智宏,51,群馬,55,A2,5.43,36.52,4.57,19.05,72,0.00,49,60.00
大村,8,予選,5,4739,中村晃朋,29,香川,53,A1,6.62,49.62,6.75,52.83,61,0.00,45,45.45
大村,8,予選,6,5180,藤本紗弥,23,山口,47,B2,1.39,0.00,0.00,0.00,36,40.00,73,0.00
大村,9,予選特賞,1,4171,榎　幸司,38,長崎,52,A1,6.47,41.35,6.94,53.08,14,33.33,76,0.00
