レース場,レース番号,レース種別,艇番,登録番号,選手名,年齢,支部,体重,級別,全国勝率,全国2連対率,当地勝率,当地2連対率,モーター番号,モーター2連対率,ボート番号,ボート2連対率
大村,1,予選,1,3151,落合敬一,58,長崎,52,B1,4.45,24.39,4.24,18.70,32,22.81,40,45.76
大村,1,予選,2,3741,松尾基成,48,福岡,56,B1,4.80,22.43,4.49,22.94,54,16.67,67,37.50
大村,1,予選,3,4750,井上尚悟,35,大阪,52,B1,4.15,19.59,4.55,20.00,69,38.46,13,33.33
大村,1,予選,4,4705,吉川勇作,34,長崎,56,B1,4.75,25.71,4.41,23.91,16,30.77,47,29.82
大村,1,予選,5,5200,筒井美琴,20,福岡,49,B2,1.29,0.00,1.75,0.00,56,18.37,20,39.66
大村,1,予選,6,4695,尾崎雄二,37,長崎,54,B1,4.85,27.00,4.74,25.62,68,23.21,31,27.78
大村,2,予選,1,3851,森田昭彦,50,福岡,56,B1,4.24,22.45,3.81,21.43,40,16.95,55,32.14
大村,2,予選,2,4395,下河雅史,36,福岡,55,A2,4.84,27.59,5.68,36.11,73,38.71,74,28.81
大村,2,予選,3,3731,高濱芳久,49,広島,53,B1,5.46,37.27,5.29,28.57,31,41.94,17,38.60
大村,2,予選,4,4069,山本修一,42,岡山,52,A2,6.86,56.92,5.30,33.33,51,48.28,76,20.37
大村,2,予選,5,5048,眞鳥康太,28,長崎,56,B1,3.89,11.25,4.19,18.58,44,37.70,81,32.76
大村,2,予選,6,4329,小松卓司,39,福岡,51,B1,4.84,26.89,4.88,25.42,13,22.41,79,28.57
大村,3,予選,1,4368,山口隆史,37,福岡,51,B1,4.21,15.53,5.48,37.50,28,33.33,66,34.48
大村,3,予選,2,4788,小池哲也,33,大阪,53,A2,5.82,36.00,6.11,41.30,79,22.22,25,30.36
大村,3,予選,3,4410,井上大輔,36,岡山,52,A2,6.11,39.81,5.98,42.11,65,33.33,36,25.45
大村,3,予選,4,4405,南野利騰,37,福井,53,B1,4.76,23.53,6.27,36.36,29,49.18,72,37.50
大村,3,予選,5,4874,池田奈津,28,福岡,51,B1,4.23,17.54,3.88,20.00,70,26.98,15,28.57
大村,3,予選,6,4352,下條雄太,36,長崎,52,A1,6.87,48.61,7.28,56.02,15,34.38,12,33.93
大村,4,予選,1,4374,永田義紘,38,広島,51,B1,4.37,21.82,0.00,0.00,38,43.55,86,35.09
大村,4,予選,2,4730,土屋実沙,33,静岡,47,B1,5.32,38.33,5.20,36.67,17,31.34,69,33.33
大村,4,予選,3,3890,小宮淳史,47,岡山,56,A2,5.43,33.00,0.00,0.00,80,24.07,62,38.18
大村,4,予選,4,4232,笠　雅雄,39,福岡,57,B1,4.35,22.09,4.24,20.69,64,32.26,18,36.84
大村,4,予選,5,3779,原田幸哉,47,長崎,52,A1,7.26,47.76,7.97,65.63,57,36.67,43,23.21
大村,4,予選,6,3352,小川晃司,54,福岡,50,B1,4.53,12.78,4.57,23.33,18,48.39,37,33.96
大村,5,予選,1,4210,松村康太,39,福井,52,A2,4.78,26.83,5.78,41.46,24,40.35,33,23.21
大村,5,予選,2,4705,吉川勇作,34,長崎,56,B1,4.75,25.71,4.41,23.91,16,30.77,47,29.82
大村,5,予選,3,4071,古賀千晶,41,兵庫,46,B1,4.93,26.67,0.00,0.00,71,26.79,28,44.23
大村,5,予選,4,3944,山口裕二,43,長崎,53,A1,6.52,49.57,6.80,52.24,20,37.70,27,36.84
大村,5,予選,5,4264,長尾章平,37,山口,53,A2,5.62,36.03,6.05,36.84,78,29.41,30,25.45
大村,5,予選,6,4099,吉永則雄,43,大阪,53,A2,6.22,42.98,6.51,45.71,25,37.93,45,28.07
大村,6,予選,1,4948,木場悠介,30,長崎,52,A2,5.43,30.48,5.38,35.03,77,29.31,70,28.57
大村,6,予選,2,4252,松下哲也,39,福岡,52,B1,4.36,21.43,4.40,20.00,81,38.10,82,33.93
大村,6,予選,3,4396,大田直弥,36,山口,52,A2,5.29,35.29,4.82,27.27,12,24.56,38,18.97
大村,6,予選,4,3151,落合敬一,58,長崎,52,B1,4.45,24.39,4.24,18.70,32,22.81,40,45.76
大村,6,予選,5,4166,吉田拡郎,40,岡山,53,A1,7.30,56.52,7.74,62.30,21,37.29,64,44.44
大村,6,予選,6,4711,前出達吉,32,福井,50,B1,5.53,36.00,5.11,22.22,75,35.48,65,25.00
大村,7,予選,1,4025,山本隆幸,45,兵庫,53,A1,6.46,46.38,7.35,62.96,30,25.00,21,35.71
大村,7,予選,2,5048,眞鳥康太,28,長崎,56,B1,3.89,11.25,4.19,18.58,44,37.70,81,32.76
大村,7,予選,3,4171,榎　幸司,40,長崎,53,A1,6.88,52.38,7.14,55.87,23,31.75,53,57.41
大村,7,予選,4,4410,井上大輔,36,岡山,52,A2,6.11,39.81,5.98,42.11,65,33.33,36,25.45
大村,7,予選,5,4346,前田健太,37,福岡,55,B1,4.88,28.21,4.32,19.12,49,38.46,41,40.00
大村,7,予選,6,4724,吉田祐貴,36,佐賀,53,B1,4.14,27.27,3.98,21.54,27,14.04,11,26.79
大村,8,予選,1,3961,谷村一哉,43,山口,56,A1,6.70,51.03,5.81,44.44,47,37.74,29,35.71
大村,8,予選,2,4695,尾崎雄二,37,長崎,54,B1,4.85,27.00,4.74,25.62,68,23.21,31,27.78
大村,8,予選,3,4122,安東幸治,40,福岡,55,A2,5.60,38.78,5.45,31.03,50,44.26,84,27.27
大村,8,予選,4,3849,中岡正彦,45,香川,52,A1,6.50,49.62,6.70,54.05,53,20.83,68,27.27
大村,8,予選,5,3734,宮田政勝,49,福岡,54,B1,4.69,30.23,4.60,35.00,59,51.61,52,38.89
大村,8,予選,6,4069,山本修一,42,岡山,52,A2,6.86,56.92,5.30,33.33,51,48.28,76,20.37
大村,9,予選特賞,1,4071,古賀千晶,41,兵庫,46,B1,4.93,26.67,0.00,0.00,71,26.79,28,44.23
大村,9,予選特賞,2,4874,池田奈津,28,福岡,51,B1,4.23,17.54,3.88,20.00,70,26.98,15,28.57
大村,9,予選特賞,3,4525,真子奈津,34,福岡,45,B1,4.30,21.21,3.00,7.69,19,31.15,49,37.04
