レース場,レース番号,レース種別,艇番,登録番号,選手名,年齢,支部,体重,級別,全国勝率,全国2連対率,当地勝率,当地2連対率,モーター番号,モーター2連対率,ボート番号,ボート2連対率
唐津,1,朝１戦一般,1,4882,瀧川千依,26,広島,47,A2,4.68,20.73,5.40,40.00,43,39.51,34,34.63
唐津,1,朝１戦一般,2,5069,山崎小葉,21,群馬,44,B1,3.78,16.42,3.78,22.22,11,45.45,51,48.92
唐津,1,朝１戦一般,3,4726,島田なぎ,34,埼玉,44,B1,5.68,33.33,4.71,29.41,34,32.18,65,36.60
唐津,1,朝１戦一般,4,5118,野田なづ,21,佐賀,45,B1,2.65,4.12,2.27,3.39,31,33.33,37,32.02
唐津,1,朝１戦一般,5,5153,佐藤ほの,25,東京,49,B2,2.12,8.77,0.00,0.00,48,37.89,73,37.56
唐津,1,朝１戦一般,6,4283,石井裕美,38,東京,51,B1,3.03,5.71,3.60,10.00,25,38.55,77,33.97
唐津,2,モー２ング一,1,4224,大橋栄里,39,福岡,48,A2,5.79,43.53,4.38,22.22,18,52.94,66,40.51
唐津,2,モー２ング一,2,3334,角ひとみ,53,広島,45,A2,4.75,29.06,6.00,50.00,41,58.82,87,38.24
唐津,2,モー２ング一,3,4936,戸敷晃美,25,福岡,46,B2,0.00,0.00,4.11,11.11,23,42.11,81,33.17
唐津,2,モー２ング一,4,3802,森岡まき,47,岡山,48,B1,4.51,27.36,3.36,16.67,24,25.00,88,34.52
唐津,2,モー２ング一,5,5231,寺田空詩,18,山口,46,B2,1.35,0.00,0.00,0.00,28,40.24,72,38.12
唐津,2,モー２ング一,6,5164,森田梨湖,22,福岡,48,B2,1.28,0.00,0.00,0.00,69,29.03,57,32.02
唐津,3,３ライズ戦一,1,4464,山下友貴,35,静岡,43,A2,5.93,42.86,7.64,54.55,55,30.68,43,38.14
唐津,3,３ライズ戦一,2,4891,寺島美里,32,東京,46,B1,3.81,13.89,3.19,12.50,54,35.05,40,32.67
唐津,3,３ライズ戦一,3,4071,古賀千晶,41,兵庫,47,A2,5.36,37.29,5.25,28.33,22,30.38,36,32.64
唐津,3,３ライズ戦一,4,4897,深見亜由,30,愛知,45,B1,4.37,15.85,0.00,0.00,56,47.31,46,36.00
唐津,3,３ライズ戦一,5,4819,蜂須瑞生,30,群馬,47,B1,4.99,27.17,4.16,19.35,29,36.14,68,38.22
唐津,3,３ライズ戦一,6,4854,大橋由珠,26,東京,47,B1,3.76,16.22,5.40,35.00,64,25.29,64,31.28
唐津,4,おは４戦一般,1,3994,茶谷　桜,42,滋賀,46,A2,5.10,31.33,5.00,32.26,33,40.23,83,42.11
唐津,4,おは４戦一般,2,5144,中尾彩香,20,福岡,49,B2,1.49,0.00,1.14,0.00,15,37.50,48,38.92
唐津,4,おは４戦一般,3,3871,池田紫乃,46,長崎,44,B1,5.57,36.78,5.41,36.96,46,42.35,56,28.87
唐津,4,おは４戦一般,4,4456,鎌倉　涼,32,大阪,45,A1,7.12,55.07,7.81,66.67,49,40.23,55,41.12
唐津,4,おは４戦一般,5,3579,中里優子,49,埼玉,48,A2,5.69,40.23,6.40,50.00,44,19.44,31,36.22
唐津,4,おは４戦一般,6,4845,前田紗希,28,埼玉,49,B1,5.80,36.94,5.06,23.53,36,41.89,62,40.10
唐津,5,一般,1,4783,木村詳子,34,山口,48,B2,4.22,17.07,0.00,0.00,63,21.05,67,31.12
唐津,5,一般,2,4781,西舘果里,35,東京,52,B1,4.89,21.21,3.21,14.29,68,38.67,47,35.75
唐津,5,一般,3,4225,土屋千明,39,群馬,46,B2,6.05,39.19,7.53,57.89,42,38.10,74,38.00
唐津,5,一般,4,4373,若狭奈美,33,岡山,48,B1,4.68,21.21,7.05,52.38,17,36.67,54,30.73
唐津,5,一般,5,4726,島田なぎ,34,埼玉,44,B1,5.68,33.33,4.71,29.41,34,32.18,58,31.90
唐津,5,一般,6,4938,小芦るり,24,佐賀,49,A2,5.72,41.13,5.63,42.53,59,31.40,41,36.68
唐津,6,一般,1,4088,野田祥子,41,長崎,48,B1,5.20,34.67,5.27,36.67,39,36.49,42,33.81
唐津,6,一般,2,4901,出口舞有,29,愛知,46,B2,5.87,44.26,5.06,37.14,52,36.67,78,32.37
唐津,6,一般,3,4275,菅野はや,39,広島,50,B1,4.08,19.44,6.73,63.64,35,37.04,86,32.69
唐津,6,一般,4,3604,武藤綾子,51,福岡,48,B1,4.34,16.67,4.57,13.04,47,37.36,76,35.75
唐津,6,一般,5,4882,瀧川千依,26,広島,47,A2,4.68,20.73,5.40,40.00,43,39.51,34,34.63
唐津,6,一般,6,5153,佐藤ほの,25,東京,49,B2,2.12,8.77,0.00,0.00,48,37.89,73,37.56
唐津,7,一般,1,3357,福島陽子,53,岡山,47,B1,3.99,13.64,3.75,4.17,66,24.36,61,37.00
唐津,7,一般,2,5118,野田なづ,21,佐賀,45,B1,2.65,4.12,2.27,3.39,31,33.33,37,32.02
唐津,7,一般,3,4819,蜂須瑞生,30,群馬,47,B1,4.99,27.17,4.16,19.35,29,36.14,68,38.22
唐津,7,一般,4,4891,寺島美里,32,東京,46,B1,3.81,13.89,3.19,12.50,54,35.05,40,32.67
唐津,7,一般,5,5213,湯淺紀香,23,群馬,47,B2,1.29,0.00,0.00,0.00,61,22.99,63,37.23
唐津,7,一般,6,5231,寺田空詩,18,山口,46,B2,1.35,0.00,0.00,0.00,28,40.24,72,38.12
唐津,8,一般,1,3802,森岡まき,47,岡山,48,B1,4.51,27.36,3.36,16.67,24,25.00,88,34.52
唐津,8,一般,2,4224,大橋栄里,39,福岡,48,A2,5.79,43.53,4.38,22.22,18,52.94,66,40.51
唐津,8,一般,3,5144,中尾彩香,20,福岡,49,B2,1.49,0.00,1.14,0.00,15,37.50,48,38.92
唐津,8,一般,4,5123,福山恵里,25,山口,47,B2,2.11,1.10,0.00,0.00,40,26.03,60,30.88
唐津,8,一般,5,4897,深見亜由,30,愛知,45,B1,4.37,15.85,0.00,0.00,56,47.31,46,36.00
唐津,8,一般,6,4456,鎌倉　涼,32,大阪,45,A1,7.12,55.07,7.81,66.67,49,40.23,55,41.12
唐津,9,からっキー特,1,4854,大橋由珠,26,東京,47,B1,3.76,16.22,5.40,35.00,64,25.29,64,31.28
唐津,9,からっキー特,2,4283,石井裕美,38,東京,51,B1,3.03,5.71,3.60,10.00,25,38.55,77,33.97
唐津,9,からっキー特,3,5069,山崎小葉,21,群馬,44,B1,3.78,16.42,3.78,22.22,11,45.45,51,48.92
唐津,9,からっキー特,4,4936,戸敷晃美,25,福岡,46,B2,0.00,0.00,4.11,11.11,23,42.11,81,33.17
唐津,9,からっキー特,5,4783,木村詳子,34,山口,48,B2,4.22,17.07,0.00,0.00,63,21.05,67,31.12
唐津,9,からっキー特,6,4781,西舘果里,35,東京,52,B1,4.89,21.21,3.21,14.29,68,38.67,47,35.75
唐津,10,選抜戦,1,3579,中里優子,49,埼玉,48,A2,5.69,40.23,6.40,50.00,44,19.44,31,36.22
唐津,10,選抜戦,2,3604,武藤綾子,51,福岡,48,B1,4.34,16.67,4.57,13.04,47,37.36,76,35.75
唐津,10,選抜戦,3,3994,茶谷　桜,42,滋賀,46,A2,5.10,31.33,5.00,32.26,33,40.23,83,42.11
唐津,10,選抜戦,4,3334,角ひとみ,53,広島,45,A2,4.75,29.06,6.00,50.00,41,58.82,87,38.24
唐津,10,選抜戦,5,4071,古賀千晶,41,兵庫,47,A2,5.36,37.29,5.25,28.33,22,30.38,36,32.64
唐津,10,選抜戦,6,4088,野田祥子,41,長崎,48,B1,5.20,34.67,5.27,36.67,39,36.49,42,33.81
唐津,11,選抜戦,1,4901,出口舞有,29,愛知,46,B2,5.87,44.26,5.06,37.14,52,36.67,78,32.37
