レース場,レース番号,レース種別,艇番,登録番号,選手名,年齢,支部,体重,級別,全国勝率,全国2連対率,当地勝率,当地2連対率,モーター番号,モーター2連対率,ボート番号,ボート2連対率
唐津,1,朝１戦予選,1,4566,塩田北斗,33,福岡,54,A1,6.67,50.00,7.00,51.92,23,42.22,89,31.94
唐津,1,朝１戦予選,2,4879,山崎鉄平,26,佐賀,54,B1,5.40,31.93,4.93,30.77,47,32.33,46,30.56
唐津,1,朝１戦予選,3,4219,本岡勝利,39,広島,57,B1,4.93,22.02,4.27,25.00,13,28.89,37,32.00
唐津,1,朝１戦予選,4,3883,山根大樹,47,広島,55,B1,4.43,22.09,4.39,19.35,18,31.09,90,24.00
唐津,1,朝１戦予選,5,3680,森林　太,48,長崎,53,B1,4.99,28.74,4.00,13.89,38,34.07,60,47.30
唐津,1,朝１戦予選,6,3211,北川敏弘,59,佐賀,54,B1,4.71,20.78,4.67,21.21,53,50.00,58,36.11
唐津,2,モー２ング予,1,4108,吉村正明,41,山口,50,A1,6.69,51.92,8.13,70.00,37,32.17,42,30.26
唐津,2,モー２ング予,2,4434,田中辰彦,35,広島,55,A2,6.24,43.70,6.18,46.43,25,29.49,39,41.18
唐津,2,モー２ング予,3,4425,大井清貴,35,山口,54,B1,4.56,26.26,5.51,32.56,27,43.95,50,27.54
唐津,2,モー２ング予,4,4406,幸野史明,36,福岡,51,B2,3.78,14.29,4.55,26.42,45,35.11,36,33.80
唐津,2,モー２ング予,5,5161,登玉隼百,22,兵庫,51,B1,2.87,9.52,0.00,0.00,16,37.88,64,33.33
唐津,2,モー２ング予,6,4822,百武　翔,28,佐賀,51,B1,5.26,33.86,5.59,37.26,31,32.44,67,35.53
唐津,3,３ライズ戦予,1,3576,白水勝也,48,福岡,50,A1,6.80,48.67,5.93,37.04,21,37.39,74,41.89
唐津,3,３ライズ戦予,2,4005,瀬川公則,43,山口,54,B1,3.80,19.72,3.89,20.00,43,41.28,73,36.36
唐津,3,３ライズ戦予,3,4531,武富智亮,32,佐賀,53,A2,5.71,40.22,5.97,42.94,40,28.91,44,24.68
唐津,3,３ライズ戦予,4,4749,山口貢輝,34,福岡,55,B2,3.53,15.00,5.17,30.00,33,37.33,82,20.59
唐津,3,３ライズ戦予,5,3936,三瀬　譲,43,長崎,55,B1,3.20,14.46,4.03,15.79,17,36.28,63,30.56
唐津,3,３ライズ戦予,6,5160,藤森陸斗,22,福岡,54,B2,2.05,2.27,0.00,0.00,68,32.91,35,27.78
唐津,4,おは４戦予選,1,3584,佐々木英,48,広島,53,A2,4.64,25.77,5.17,31.71,19,31.56,47,33.33
唐津,4,おは４戦予選,2,3338,出本正博,56,広島,53,B1,3.27,12.33,4.12,23.53,70,42.08,79,25.68
唐津,4,おは４戦予選,3,3617,竹田広樹,48,佐賀,54,B1,3.88,20.00,4.09,19.32,34,30.42,49,30.26
唐津,4,おは４戦予選,4,4703,森永　隆,33,山口,50,A2,5.80,31.91,6.00,44.83,69,42.29,66,37.33
唐津,4,おは４戦予選,5,4674,池田剛規,33,福岡,52,B1,5.07,33.33,4.53,27.27,12,24.64,51,53.62
唐津,4,おは４戦予選,6,3919,村上　純,46,岡山,53,A2,5.16,35.00,6.66,51.22,46,38.30,68,40.79
唐津,5,予選特賞Ｂ,1,4060,島田一生,42,福岡,56,A2,5.66,37.59,5.63,42.19,26,27.85,72,53.42
唐津,5,予選特賞Ｂ,2,4151,下河誉史,38,福岡,56,A2,6.06,40.29,5.93,41.67,29,31.84,56,30.77
唐津,5,予選特賞Ｂ,3,3920,正木聖賢,46,広島,53,A1,5.86,41.30,6.23,51.43,39,31.53,57,27.03
唐津,5,予選特賞Ｂ,4,4179,広次　修,38,山口,52,A2,5.71,36.13,6.00,25.00,14,40.34,88,32.43
唐津,5,予選特賞Ｂ,5,3662,大庭元明,51,福岡,55,A1,6.09,46.46,5.21,32.76,22,39.27,40,33.33
唐津,5,予選特賞Ｂ,6,3680,森林　太,48,長崎,53,B1,4.99,28.74,4.00,13.89,38,34.07,60,47.30
唐津,6,予選,1,4219,本岡勝利,39,広島,57,B1,4.93,22.02,4.27,25.00,13,28.89,37,32.00
唐津,6,予選,2,3284,渡邊伸太,53,佐賀,53,A2,5.92,44.44,6.71,50.61,51,39.57,83,38.89
唐津,6,予選,3,3875,廣中良一,44,山口,51,B1,5.01,34.25,4.80,31.11,62,32.33,77,23.29
唐津,6,予選,4,4475,末永祐輝,33,山口,54,A1,6.20,42.27,5.31,26.92,36,44.84,65,41.03
唐津,6,予選,5,4351,里岡右貴,35,福岡,56,A1,6.49,46.38,6.52,46.03,65,43.04,76,29.17
唐津,6,予選,6,4458,抹香雄三,35,広島,55,B1,4.48,21.54,4.82,23.94,24,30.23,54,39.73
唐津,7,予選,1,4533,峰重侑治,32,岡山,53,B1,3.99,16.00,4.13,16.13,20,28.50,81,42.67
唐津,7,予選,2,4193,郷原章平,39,福岡,52,A1,6.29,47.47,5.88,44.23,11,38.83,34,24.66
唐津,7,予選,3,4264,長尾章平,36,山口,54,A2,6.09,41.41,5.05,35.00,15,29.13,62,40.00
唐津,7,予選,4,4002,古結　宏,43,兵庫,53,A1,6.53,43.52,8.00,75.00,28,28.85,48,45.95
唐津,7,予選,5,5029,中　亮太,24,福岡,54,A2,6.24,49.21,4.54,32.14,52,35.17,32,20.27
唐津,7,予選,6,4425,大井清貴,35,山口,54,B1,4.56,26.26,5.51,32.56,27,43.95,50,27.54
唐津,8,予選,1,4879,山崎鉄平,26,佐賀,54,B1,5.40,31.93,4.93,30.77,47,32.33,46,30.56
唐津,8,予選,2,3919,村上　純,46,岡山,53,A2,5.16,35.00,6.66,51.22,46,38.30,68,40.79
唐津,8,予選,3,3944,山口裕二,42,長崎,53,A1,6.60,46.28,5.84,36.23,54,32.24,70,40.00
唐津,8,予選,4,4213,重富伸也,37,長崎,55,B1,3.93,19.54,4.24,20.00,61,30.26,53,31.43
唐津,8,予選,5,5160,藤森陸斗,22,福岡,54,B2,2.05,2.27,0.00,0.00,68,32.91,35,27.78
唐津,8,予選,6,5161,登玉隼百,22,兵庫,51,B1,2.87,9.52,0.00,0.00,16,37.88,64,33.33
唐津,9,予選,1,4552,杉山勝匡,32,佐賀,50,B1,4.11,22.22,5.00,35.42,50,30.97,87,29.33
唐津,9,予選,2,3920,正木聖賢,46,広島,53,A1,5.86,41.30,6.23,51.43,39,31.53,57,27.03
唐津,9,予選,3,4406,幸野史明,36,福岡,51,B2,3.78,14.29,4.55,26.42,45,35.11,36,33.80
唐津,9,予選,4,3584,佐々木英,48,広島,53,A2,4.64,25.77,5.17,31.71,19,31.56,47,33.33
唐津,9,予選,5,4592,小林孝弘,40,山口,53,B1,4.77,30.00,5.18,28.57,35,38.59,33,17.95
唐津,9,予選,6,3661,柳瀬興志,51,山口,58,A2,5.12,26.47,5.08,32.69,48,34.07,59,31.58
唐津,10,予選特賞Ａ,1,4434,田中辰彦,35,広島,55,A2,6.24,43.70,6.18,46.43,25,29.49,39,41.18
唐津,10,予選特賞Ａ,2,4475,末永祐輝,33,山口,54,A1,6.20,42.27,5.31,26.92,36,44.84,65,41.03
唐津,10,予選特賞Ａ,3,4674,池田剛規,33,福岡,52,B1,5.07,33.33,4.53,27.27,12,24.64,51,53.62
唐津,10,予選特賞Ａ,4,4324,海野康志,33,山口,60,A1,5.98,42.98,7.22,53.66,49,33.61,80,31.17
唐津,10,予選特賞Ａ,5,3211,北川敏弘,59,佐賀,54,B1,4.71,20.78,4.67,21.21,53,50.00,58,36.11
唐津,10,予選特賞Ａ,6,4179,広次　修,38,山口,52,A2,5.71,36.13,6.00,25.00,14,40.34,88,32.43
唐津,11,予選特選,1,4531,武富智亮,32,佐賀,53,A2,5.71,40.22,5.97,42.94,40,28.91,44,24.68
唐津,11,予選特選,2,3942,寺田　祥,42,山口,54,A1,7.69,51.58,5.75,20.83,63,35.27,75,32.00
