レース場,レース番号,レース種別,艇番,登録番号,選手名,年齢,支部,体重,級別,全国勝率,全国2連対率,当地勝率,当地2連対率,モーター番号,モーター2連対率,ボート番号,ボート2連対率
福岡,1,予選,1,4584,村岡賢人,31,岡山,53,A1,6.19,46.02,4.44,11.11,25,42.33,150,35.58
福岡,1,予選,2,3846,藤井　理,44,山口,61,B1,3.79,13.95,4.06,18.87,12,34.03,157,43.29
福岡,1,予選,3,5092,篠原晟弥,20,福岡,51,B1,3.12,6.67,2.19,0.00,66,34.16,117,36.53
福岡,1,予選,4,3701,大西隆洋,48,香川,59,B1,4.07,23.71,3.37,10.53,67,34.97,142,29.19
福岡,1,予選,5,4866,橋本英一,31,福岡,54,B1,4.00,14.52,4.38,24.17,11,36.16,144,35.10
福岡,1,予選,6,3753,河上哲也,49,香川,54,B1,4.03,21.82,3.33,22.22,29,22.29,118,28.06
福岡,2,予選,1,4172,森定晃史,38,岡山,52,A1,6.34,43.27,0.00,0.00,46,44.79,108,35.67
福岡,2,予選,2,4724,吉田祐貴,35,佐賀,53,B1,4.01,17.82,4.76,24.32,24,39.71,138,45.18
福岡,2,予選,3,3834,細川明人,46,岡山,55,A2,4.82,26.21,4.96,30.36,51,34.05,154,35.76
福岡,2,予選,4,4846,佐藤駿介,27,山口,51,B1,4.21,22.02,3.17,11.11,23,35.47,103,41.46
福岡,2,予選,5,4980,佐々木完,24,山口,51,A2,6.46,46.34,3.75,8.33,30,45.20,166,40.00
福岡,2,予選,6,4449,中嶋達也,33,兵庫,52,B1,4.25,19.75,3.22,0.00,57,29.69,148,30.95
福岡,3,予選,1,3600,玄馬　徹,51,岡山,51,B1,4.62,23.73,3.23,13.64,47,34.85,146,31.06
福岡,3,予選,2,3955,眞田英二,44,徳島,53,A2,6.72,48.78,4.22,11.11,58,28.49,169,28.05
福岡,3,予選,3,4635,峰重力也,31,岡山,54,B1,5.15,36.00,5.42,31.58,34,27.41,105,31.48
福岡,3,予選,4,4226,村田浩司,38,山口,53,B1,4.41,22.40,0.00,0.00,27,30.94,119,29.70
福岡,3,予選,5,3176,長谷川巌,56,山口,51,B1,4.47,24.30,4.23,19.64,35,35.66,153,29.19
福岡,3,予選,6,4561,藤山翔大,30,大阪,54,A2,6.79,52.67,6.43,52.50,38,31.05,102,33.74
福岡,4,予選,1,4422,永井亮次,32,大阪,54,B1,4.15,22.99,4.61,26.09,65,52.55,107,36.75
福岡,4,予選,2,4452,松尾　祭,33,香川,54,A2,5.67,39.36,5.23,35.00,31,37.13,141,32.48
福岡,4,予選,3,3703,鳥飼　眞,47,福岡,51,B2,6.36,48.08,7.07,54.79,61,30.57,145,27.50
福岡,4,予選,4,3187,篠原俊夫,60,香川,52,B1,4.15,21.18,4.47,20.00,63,33.33,170,30.12
福岡,4,予選,5,4508,野間大樹,32,大阪,51,B1,4.42,18.06,5.87,39.13,18,34.20,126,27.81
福岡,4,予選,6,3892,草場康幸,45,佐賀,52,B1,5.17,28.43,5.66,43.75,72,46.71,167,43.98
福岡,5,予選,1,4607,鶴田勇雄,32,福岡,53,B1,5.11,31.00,6.06,44.44,32,30.05,147,38.79
福岡,5,予選,2,4057,松井賢治,42,兵庫,52,A2,5.83,39.10,5.62,34.48,13,41.47,137,28.92
福岡,5,予選,3,3846,藤井　理,44,山口,61,B1,3.79,13.95,4.06,18.87,12,34.03,157,43.29
福岡,5,予選,4,3919,村上　純,46,岡山,52,A1,5.43,38.39,5.78,47.06,14,44.56,133,30.06
福岡,5,予選,5,4121,富永修一,39,福岡,51,B1,4.73,27.27,5.09,29.70,68,31.25,164,35.93
福岡,5,予選,6,4772,石丸海渡,27,香川,57,A1,6.46,38.71,7.71,68.29,59,33.12,135,39.26
福岡,6,予選,1,3709,田中浩之,46,山口,53,B1,4.11,20.55,4.00,20.59,43,27.05,121,39.76
福岡,6,予選,2,4584,村岡賢人,31,岡山,53,A1,6.19,46.02,4.44,11.11,25,42.33,150,35.58
福岡,6,予選,3,4596,葛原大陽,37,徳島,49,A2,5.67,33.67,5.56,33.33,73,27.81,161,39.22
福岡,6,予選,4,3717,立間充宏,46,岡山,55,A1,6.73,50.81,6.37,49.33,28,56.21,104,27.44
福岡,6,予選,5,4724,吉田祐貴,35,佐賀,53,B1,4.01,17.82,4.76,24.32,24,39.71,138,45.18
福岡,6,予選,6,4314,青木幸太,37,福岡,50,B1,5.46,42.61,5.61,42.67,52,35.33,130,34.97
福岡,7,予選,1,3305,小野信樹,53,岡山,53,B1,4.30,24.51,4.07,21.95,44,21.29,113,38.24
福岡,7,予選,2,4866,橋本英一,31,福岡,54,B1,4.00,14.52,4.38,24.17,11,36.16,144,35.10
福岡,7,予選,3,3837,秋山広一,45,香川,52,A1,5.96,40.35,5.88,42.00,37,38.75,155,32.53
福岡,7,予選,4,4449,中嶋達也,33,兵庫,52,B1,4.25,19.75,3.22,0.00,57,29.69,148,30.95
福岡,7,予選,5,3795,金子龍介,48,兵庫,51,A1,6.97,56.00,8.09,72.73,16,37.74,140,29.45
福岡,7,予選,6,4511,中岡健人,32,香川,56,B1,4.78,25.58,4.71,25.00,49,28.50,128,29.56
福岡,8,予選,1,4155,長野壮志,40,福岡,58,A2,5.62,36.76,7.29,62.07,15,38.10,171,37.58
福岡,8,予選,2,3564,桑原　啓,51,福岡,52,B1,4.45,26.79,3.95,19.51,71,35.03,122,27.39
福岡,8,予選,3,4980,佐々木完,24,山口,51,A2,6.46,46.34,3.75,8.33,30,45.20,166,40.00
福岡,8,予選,4,3753,河上哲也,49,香川,54,B1,4.03,21.82,3.33,22.22,29,22.29,118,28.06
福岡,8,予選,5,4422,永井亮次,32,大阪,54,B1,4.15,22.99,4.61,26.09,65,52.55,107,36.75
福岡,8,予選,6,4635,峰重力也,31,岡山,54,B1,5.15,36.00,5.42,31.58,34,27.41,105,31.48
福岡,9,予選特賞,1,3444,香月大介,51,福岡,52,B1,3.67,17.72,4.10,22.22,17,35.15,106,36.75
福岡,9,予選特賞,2,3701,大西隆洋,48,香川,59,B1,4.07,23.71,3.37,10.53,67,34.97,142,29.19
福岡,9,予選特賞,3,4772,石丸海渡,27,香川,57,A1,6.46,38.71,7.71,68.29,59,33.12,135,39.26
福岡,9,予選特賞,4,3600,玄馬　徹,51,岡山,51,B1,4.62,23.73,3.23,13.64,47,34.85,146,31.06
福岡,9,予選特賞,5,4222,山口高志,39,佐賀,51,A2,4.89,35.65,5.94,47.92,20,27.74,116,39.35
福岡,9,予選特賞,6,3352,小川晃司,52,福岡,50,B2,4.14,16.67,3.83,12.50,42,39.59,172,33.96
