レース場,レース番号,レース種別,艇番,登録番号,選手名,年齢,支部,体重,級別,全国勝率,全国2連対率,当地勝率,当地2連対率,モーター番号,モーター2連対率,ボート番号,ボート2連対率
唐津,1,朝１戦予選,1,4027,松江秀徳,45,佐賀,54,A2,5.45,34.78,6.41,48.44,44,33.54,65,24.00
唐津,1,朝１戦予選,2,4624,高田　明,37,佐賀,49,B1,5.67,38.26,6.77,53.23,31,44.22,46,25.93
唐津,1,朝１戦予選,3,3508,久富政弘,51,佐賀,54,B1,5.13,28.57,5.28,34.23,67,34.16,38,21.74
唐津,1,朝１戦予選,4,3506,宮西真昭,51,佐賀,54,B2,3.78,8.22,3.89,10.96,65,33.70,73,25.00
唐津,1,朝１戦予選,5,3998,冨成謙児,43,佐賀,52,B1,5.03,27.10,5.15,24.83,48,33.14,64,40.74
唐津,1,朝１戦予選,6,3471,赤峰和也,53,佐賀,55,B1,4.21,28.95,4.35,22.29,40,36.47,61,44.44
唐津,2,モー２ング予,1,4515,藤田浩人,36,佐賀,54,A2,5.52,33.33,5.63,38.69,36,44.85,74,22.22
唐津,2,モー２ング予,2,5026,安河内健,27,佐賀,53,A1,6.32,48.72,5.83,44.09,60,30.95,31,50.00
唐津,2,モー２ング予,3,3211,北川敏弘,61,佐賀,56,B1,4.70,22.34,4.58,20.26,27,46.90,42,83.33
唐津,2,モー２ング予,4,3892,草場康幸,47,佐賀,50,B1,5.05,27.27,5.44,34.65,15,40.76,40,33.33
唐津,2,モー２ング予,5,5214,田中宏典,23,佐賀,59,B2,1.65,0.00,1.63,0.00,38,31.28,32,46.43
唐津,2,モー２ング予,6,3974,深山祐二,46,佐賀,53,B1,4.72,29.07,4.80,30.77,59,36.11,53,46.15
唐津,3,３ライズ戦予,1,5121,定松勇樹,21,佐賀,53,A1,6.98,53.96,5.79,40.46,47,29.81,89,22.22
唐津,3,３ライズ戦予,2,4873,蒲原健太,29,佐賀,53,B1,4.89,29.70,4.24,19.85,66,40.94,63,26.92
唐津,3,３ライズ戦予,3,4949,横田貴満,30,佐賀,51,A2,5.53,32.89,5.16,30.46,54,32.94,54,38.46
唐津,3,３ライズ戦予,4,4981,牧山敦也,26,佐賀,53,B1,5.12,30.91,4.90,26.23,64,25.98,37,19.05
唐津,3,３ライズ戦予,5,3224,栗山繁洋,57,佐賀,52,B1,3.97,20.00,4.64,27.82,61,31.82,66,24.00
唐津,3,３ライズ戦予,6,5212,西川拓利,24,福岡,56,B2,2.49,4.50,1.42,0.00,20,33.33,41,34.62
唐津,4,おは４戦予選,1,3459,中野和裕,56,佐賀,55,B1,4.14,20.43,4.36,19.55,56,45.33,36,40.00
唐津,4,おは４戦予選,2,4734,安河内将,33,佐賀,52,A1,6.70,50.00,6.77,53.19,57,20.78,56,34.62
唐津,4,おは４戦予選,3,4112,大久保信,42,佐賀,53,A2,5.94,39.52,5.58,33.71,55,35.54,58,44.44
唐津,4,おは４戦予選,4,5274,城間盛渚,21,福岡,53,B2,1.15,0.00,1.00,0.00,12,35.03,39,39.13
唐津,4,おは４戦予選,5,4222,山口高志,41,佐賀,51,B1,4.35,22.08,4.70,29.29,24,28.17,47,32.14
唐津,4,おは４戦予選,6,5084,末永和也,24,佐賀,53,A1,7.29,56.30,6.03,43.17,35,31.25,68,4.35
唐津,5,予選,1,3784,中島友和,46,佐賀,54,B1,5.02,31.96,6.14,47.73,21,34.93,35,39.29
唐津,5,予選,2,5124,上瀧絢也,27,佐賀,50,B1,3.03,12.73,2.21,7.89,25,32.58,34,37.04
唐津,5,予選,3,4072,森永　淳,42,佐賀,52,A1,6.39,49.56,6.48,53.33,46,40.24,57,44.44
唐津,5,予選,4,5270,小玉啓太,22,佐賀,52,B2,1.69,0.00,1.65,0.00,29,45.95,48,22.22
唐津,5,予選,5,4778,堤　啓輔,37,佐賀,52,B1,4.83,26.44,4.94,29.29,51,30.25,43,57.69
唐津,5,予選,6,4294,古賀繁輝,36,佐賀,56,A2,6.27,42.05,7.48,61.42,39,30.59,33,42.86
唐津,6,予選,1,4718,北川太一,30,佐賀,51,A2,6.54,51.79,5.67,41.96,16,41.56,52,46.15
唐津,6,予選,2,4500,山田康二,35,佐賀,54,A1,7.70,60.47,7.78,65.82,53,41.38,59,33.33
唐津,6,予選,3,4724,吉田祐貴,37,佐賀,54,B1,4.63,25.00,4.61,25.62,19,24.37,70,65.38
唐津,6,予選,4,3471,赤峰和也,53,佐賀,55,B1,4.21,28.95,4.35,22.29,40,36.47,61,44.44
